,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_l1_ratio,param_max_iter,param_penalty,param_solver,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0,0.09079337120056152,0.011831392672334124,0.0036350250244140624,0.0003992064797670074,4.6,0.6,5.0,l1,liblinear,"{'C': 4.6, 'l1_ratio': 0.6, 'max_iter': 5.0, 'penalty': 'l1', 'solver': 'liblinear'}",0.5988815042956719,0.6079372798452065,0.6016757658283141,0.6378401297367092,0.6002923175065138,0.6093253994424831,0.014589072138414746,13
1,0.018273448944091795,0.002838357022963219,0.0,0.0,4.6,0.6,5.0,l1,newton-cg,"{'C': 4.6, 'l1_ratio': 0.6, 'max_iter': 5.0, 'penalty': 'l1', 'solver': 'newton-cg'}",,,,,,,,213
2,0.022301149368286134,0.0032375478745595406,0.0,0.0,4.6,0.6,5.0,l1,sag,"{'C': 4.6, 'l1_ratio': 0.6, 'max_iter': 5.0, 'penalty': 'l1', 'solver': 'sag'}",,,,,,,,209
3,0.02370285987854004,0.00542856568826601,0.0,0.0,4.6,0.6,5.0,l1,lbfgs,"{'C': 4.6, 'l1_ratio': 0.6, 'max_iter': 5.0, 'penalty': 'l1', 'solver': 'lbfgs'}",,,,,,,,238
4,0.2907249927520752,0.06496783648042223,0.0037065982818603516,0.0004146877230056288,4.6,0.6,5.0,l2,liblinear,"{'C': 4.6, 'l1_ratio': 0.6, 'max_iter': 5.0, 'penalty': 'l2', 'solver': 'liblinear'}",0.5952985614194886,0.6056189807202937,0.5986206507843383,0.6176609987984495,0.6024161668746109,0.6039230717194363,0.0076990305320306564,101
5,0.12799630165100098,0.011646482937674773,0.0034099578857421874,0.0006159754762057424,4.6,0.6,5.0,l2,newton-cg,"{'C': 4.6, 'l1_ratio': 0.6, 'max_iter': 5.0, 'penalty': 'l2', 'solver': 'newton-cg'}",0.601778734944564,0.606793568456723,0.5996889803217286,0.6318387821555662,0.6050767429527397,0.6090353617662643,0.01166795406693827,21
6,0.14355168342590333,0.008136089717548528,0.005191230773925781,0.0013779057232278114,4.6,0.6,5.0,l2,sag,"{'C': 4.6, 'l1_ratio': 0.6, 'max_iter': 5.0, 'penalty': 'l2', 'solver': 'sag'}",0.5941175411105708,0.6004947934758277,0.5974741820361797,0.6404481860174367,0.5781212771789951,0.602131195963802,0.020655518307487693,161
7,0.04712991714477539,0.00857213331057411,0.003896665573120117,0.0011534329271109358,4.6,0.6,5.0,l2,lbfgs,"{'C': 4.6, 'l1_ratio': 0.6, 'max_iter': 5.0, 'penalty': 'l2', 'solver': 'lbfgs'}",0.5958517626535134,0.6046540948469947,0.5890184946545094,0.6323050554788398,0.5860812289120204,0.6015821273091755,0.01663908107774551,189
8,5.110167980194092,1.0634506861069515,0.003982973098754883,0.0004832617542081498,4.6,0.6,30.0,l1,liblinear,"{'C': 4.6, 'l1_ratio': 0.6, 'max_iter': 30.0, 'penalty': 'l1', 'solver': 'liblinear'}",0.5965078850473566,0.6058325421269173,0.5986782944644133,0.6183655326660331,0.6030758667688028,0.6044920242147047,0.007665802747092198,81
9,0.011004638671875,0.0037720001250421517,0.0,0.0,4.6,0.6,30.0,l1,newton-cg,"{'C': 4.6, 'l1_ratio': 0.6, 'max_iter': 30.0, 'penalty': 'l1', 'solver': 'newton-cg'}",,,,,,,,219
10,0.011058425903320313,0.007090621713632629,0.0,0.0,4.6,0.6,30.0,l1,sag,"{'C': 4.6, 'l1_ratio': 0.6, 'max_iter': 30.0, 'penalty': 'l1', 'solver': 'sag'}",,,,,,,,223
11,0.013636350631713867,0.005214219130386071,0.0,0.0,4.6,0.6,30.0,l1,lbfgs,"{'C': 4.6, 'l1_ratio': 0.6, 'max_iter': 30.0, 'penalty': 'l1', 'solver': 'lbfgs'}",,,,,,,,232
12,0.737942123413086,0.0421451378866795,0.003507709503173828,0.0005705283686980611,4.6,0.6,30.0,l2,liblinear,"{'C': 4.6, 'l1_ratio': 0.6, 'max_iter': 30.0, 'penalty': 'l2', 'solver': 'liblinear'}",0.5962827450102535,0.6055327842489456,0.5978751258553682,0.617052537730991,0.6023008795144609,0.6038088144720037,0.007382310309529255,117
13,0.9020674705505372,0.06459694240489659,0.0032195568084716795,0.0003530304533283476,4.6,0.6,30.0,l2,newton-cg,"{'C': 4.6, 'l1_ratio': 0.6, 'max_iter': 30.0, 'penalty': 'l2', 'solver': 'newton-cg'}",0.5962866045537467,0.6055250651619594,0.5979020262394031,0.6170474138483178,0.6023521183411943,0.6038226456289243,0.007372934643267051,113
14,0.48613510131835935,0.019575234861694605,0.003462982177734375,0.0006940386934943028,4.6,0.6,30.0,l2,sag,"{'C': 4.6, 'l1_ratio': 0.6, 'max_iter': 30.0, 'penalty': 'l2', 'solver': 'sag'}",0.5986254879106233,0.6073184663717975,0.59848102498149,0.6370267133623174,0.5934006953108788,0.6069704775874214,0.015680223559867906,53
15,0.13386569023132325,0.005116528034681948,0.0035408496856689452,0.0004404410790426118,4.6,0.6,30.0,l2,lbfgs,"{'C': 4.6, 'l1_ratio': 0.6, 'max_iter': 30.0, 'penalty': 'l2', 'solver': 'lbfgs'}",0.5986113362511483,0.605301211639354,0.5989818845128084,0.6242810552123979,0.6049781082112782,0.6064307191653974,0.009366410728422292,61
16,0.09604287147521973,0.00528317994512215,0.0034093856811523438,0.0003614616577722519,4.6,0.65,5.0,l1,liblinear,"{'C': 4.6, 'l1_ratio': 0.65, 'max_iter': 5.0, 'penalty': 'l1', 'solver': 'liblinear'}",0.5988815042956719,0.6079372798452065,0.6016757658283141,0.6378401297367092,0.6002923175065138,0.6093253994424831,0.014589072138414746,13
17,0.017385149002075197,0.0038526020310300246,0.0,0.0,4.6,0.65,5.0,l1,newton-cg,"{'C': 4.6, 'l1_ratio': 0.65, 'max_iter': 5.0, 'penalty': 'l1', 'solver': 'newton-cg'}",,,,,,,,211
18,0.017696332931518555,0.0038974855007164366,0.0,0.0,4.6,0.65,5.0,l1,sag,"{'C': 4.6, 'l1_ratio': 0.65, 'max_iter': 5.0, 'penalty': 'l1', 'solver': 'sag'}",,,,,,,,280
19,0.016080045700073244,0.00456346373531178,0.0,0.0,4.6,0.65,5.0,l1,lbfgs,"{'C': 4.6, 'l1_ratio': 0.65, 'max_iter': 5.0, 'penalty': 'l1', 'solver': 'lbfgs'}",,,,,,,,242
20,0.2465531349182129,0.019701420103125714,0.0037059783935546875,0.0003282462628226245,4.6,0.65,5.0,l2,liblinear,"{'C': 4.6, 'l1_ratio': 0.65, 'max_iter': 5.0, 'penalty': 'l2', 'solver': 'liblinear'}",0.5952985614194886,0.6056189807202937,0.5986206507843383,0.6176609987984495,0.6024161668746109,0.6039230717194363,0.0076990305320306564,101
21,0.12365708351135254,0.007568123047606092,0.003528928756713867,0.00038468666256551067,4.6,0.65,5.0,l2,newton-cg,"{'C': 4.6, 'l1_ratio': 0.65, 'max_iter': 5.0, 'penalty': 'l2', 'solver': 'newton-cg'}",0.601778734944564,0.606793568456723,0.5996889803217286,0.6318387821555662,0.6050767429527397,0.6090353617662643,0.01166795406693827,21
22,0.11354866027832031,0.002004434135867355,0.0037430763244628907,0.0005304630812171349,4.6,0.65,5.0,l2,sag,"{'C': 4.6, 'l1_ratio': 0.65, 'max_iter': 5.0, 'penalty': 'l2', 'solver': 'sag'}",0.5941175411105708,0.6004947934758277,0.5974741820361797,0.6404481860174367,0.5781212771789951,0.602131195963802,0.020655518307487693,161
23,0.04616951942443848,0.004453461809099239,0.0048334598541259766,0.0009369986414221986,4.6,0.65,5.0,l2,lbfgs,"{'C': 4.6, 'l1_ratio': 0.65, 'max_iter': 5.0, 'penalty': 'l2', 'solver': 'lbfgs'}",0.5958517626535134,0.6046540948469947,0.5890184946545094,0.6323050554788398,0.5860812289120204,0.6015821273091755,0.01663908107774551,189
