,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_class_weight,param_criterion,param_max_depth,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0,0.10500583648681641,0.008231199409966639,0.002684926986694336,0.00014711794951838554,balanced,gini,2,"{'class_weight': 'balanced', 'criterion': 'gini', 'max_depth': 2}",0.5444709466430977,0.5789958497042303,0.6054847321106042,0.6291513056934022,0.6172344355658944,0.5950674539434457,0.030265183702039802,7
1,0.18464937210083007,0.0015230809920032593,0.0026715755462646484,7.316034060260585e-05,balanced,gini,4,"{'class_weight': 'balanced', 'criterion': 'gini', 'max_depth': 4}",0.5788903555154162,0.638945495526789,0.6123091033461515,0.6109820177337579,0.6034595174839686,0.6089172979212166,0.019229481017056512,2
2,0.2666908264160156,0.003795715217710979,0.0028204917907714844,8.107872404220538e-05,balanced,gini,6,"{'class_weight': 'balanced', 'criterion': 'gini', 'max_depth': 6}",0.6082113074332236,0.6033116169686116,0.6104100643303471,0.5704200815209733,0.5675558311065793,0.5919817802719469,0.018936199462646415,8
3,0.34145345687866213,0.0019244986884103964,0.0030996322631835936,0.00041311327068869563,balanced,gini,8,"{'class_weight': 'balanced', 'criterion': 'gini', 'max_depth': 8}",0.5838215655852226,0.5855461382694321,0.5689847538871056,0.5298113898787946,0.5609658775033369,0.5658259450247785,0.020215711182477662,16
4,0.4062199592590332,0.0038225891197822388,0.003128337860107422,0.00042702170316485623,balanced,gini,10,"{'class_weight': 'balanced', 'criterion': 'gini', 'max_depth': 10}",0.5498427879283772,0.5751646095299847,0.5694868943890923,0.5228723717684313,0.5192478652623812,0.5473229057756533,0.023059875014077642,19
5,0.46044301986694336,0.0029221068003459087,0.002974796295166016,0.00015550765875830695,balanced,gini,12,"{'class_weight': 'balanced', 'criterion': 'gini', 'max_depth': 12}",0.5155719714805467,0.5514084760721168,0.5456422658833958,0.5189993569527246,0.5278534262122465,0.5318950993202061,0.014274706693785468,23
6,0.12060189247131348,0.004762367182685331,0.002752351760864258,0.0001701196606496445,balanced,entropy,2,"{'class_weight': 'balanced', 'criterion': 'entropy', 'max_depth': 2}",0.5456210906040702,0.5789958497042303,0.6054847321106042,0.6291513056934022,0.5455859031739891,0.5809677762572593,0.032948102394872614,11
7,0.2251605987548828,0.00954209661310378,0.002727842330932617,8.36717562631224e-05,balanced,entropy,4,"{'class_weight': 'balanced', 'criterion': 'entropy', 'max_depth': 4}",0.5665616870836517,0.6253264530537994,0.6163326322153875,0.6091681632673974,0.5696098675732523,0.5973997606386976,0.024495362879506936,6
8,0.3366236686706543,0.008307737265377443,0.002912425994873047,0.0002994837108114841,balanced,entropy,6,"{'class_weight': 'balanced', 'criterion': 'entropy', 'max_depth': 6}",0.5890004296958422,0.5977898967443463,0.6209018545893337,0.6064268860371635,0.5734297221062231,0.5975097578345818,0.01599400281246375,5
9,0.4829999923706055,0.06578483172538911,0.002860832214355469,0.00013529739916259736,balanced,entropy,8,"{'class_weight': 'balanced', 'criterion': 'entropy', 'max_depth': 8}",0.553825193556106,0.5774661839664271,0.6075573426519679,0.5469257984930661,0.5513297756507972,0.567420858863673,0.022696512776292206,15
10,0.6930292129516602,0.07684414935360372,0.004290962219238281,0.0014759222567998294,balanced,entropy,10,"{'class_weight': 'balanced', 'criterion': 'entropy', 'max_depth': 10}",0.5427438009298927,0.5549470341981283,0.603871990039172,0.5187149814643545,0.51422133635984,0.5468998285982776,0.032218400724226604,20
11,0.6922270298004151,0.07527712122461207,0.005119752883911133,0.002499907704847633,balanced,entropy,12,"{'class_weight': 'balanced', 'criterion': 'entropy', 'max_depth': 12}",0.5254588353956161,0.5415499154759975,0.5824548009499679,0.5106858573152392,0.502825821294344,0.532595046086233,0.028225271092386033,22
12,0.14292597770690918,0.022917636146158223,0.004595613479614258,0.002307945817324188,,gini,2,"{'class_weight': None, 'criterion': 'gini', 'max_depth': 2}",0.5515364842646412,0.5443603063962927,0.6054847321106042,0.5663907882837299,0.538904360167961,0.5613353342446458,0.023925068764289424,17
13,0.29355483055114745,0.021017904673947388,0.004615259170532226,0.0029624878178174815,,gini,4,"{'class_weight': None, 'criterion': 'gini', 'max_depth': 4}",0.5597155001839715,0.6238726916713624,0.613112912440531,0.614798669840058,0.5426646495648543,0.5908328847401554,0.033017746238519066,9
14,0.30623531341552734,0.038155945702757856,0.0035638332366943358,0.0018191362420961318,,gini,6,"{'class_weight': None, 'criterion': 'gini', 'max_depth': 6}",0.5427264329841733,0.6217628078950821,0.6304610982017734,0.6061373866661202,0.5877067806901358,0.597758901287457,0.03113017163057665,4
15,0.3535776138305664,0.016867204015444205,0.003227996826171875,0.0007421738593075765,,gini,8,"{'class_weight': None, 'criterion': 'gini', 'max_depth': 8}",0.5142899597835568,0.6171088416995372,0.6296784251234215,0.6137226544786578,0.5577122120057695,0.5865024186181885,0.04378441987648841,10
16,0.5599125385284424,0.08246993808420673,0.004406356811523437,0.0017569109814002369,,gini,10,"{'class_weight': None, 'criterion': 'gini', 'max_depth': 10}",0.51644358505276,0.6020791360797845,0.6068918783897687,0.5943293990454207,0.5509281913462746,0.5741344379828017,0.035010161098798814,12
17,0.5628750801086426,0.056742907723052655,0.002919435501098633,0.00012072703257262594,,gini,12,"{'class_weight': None, 'criterion': 'gini', 'max_depth': 12}",0.5185238789955924,0.6174317568384677,0.5630423309567056,0.5675763266372728,0.5322183337645935,0.5597585254385264,0.03422531589068612,18
