,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_clf,param_clf__estimator__C,param_clf__estimator__solver,param_normalize,param_reduce_dim,param_reduce_dim__n_components,param_clf__max_depth,param_clf__n_estimators,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
84,8.761085907618204,0.11047305457532566,0.813007672627767,0.25224832476563475,"RandomForestClassifier(class_weight='balanced_subsample', n_jobs=-1,
                       random_state=42)",,,StandardScaler(),"PCA(iterated_power=2, random_state=42)",50,6,50,"{'clf': RandomForestClassifier(class_weight='balanced_subsample', n_jobs=-1,
                       random_state=42), 'clf__max_depth': 6, 'clf__n_estimators': 50, 'normalize': StandardScaler(), 'reduce_dim': PCA(iterated_power=2, random_state=42), 'reduce_dim__n_components': 50}",0.5603892678175039,0.5600393686293988,0.5482884071321312,0.5562390145263446,0.005623742870671925,105
85,8.640246152877808,0.17089834302805326,0.7819400628407797,0.17017768899768795,"RandomForestClassifier(class_weight='balanced_subsample', n_jobs=-1,
                       random_state=42)",,,StandardScaler(),"PCA(iterated_power=2, random_state=42)",60,6,50,"{'clf': RandomForestClassifier(class_weight='balanced_subsample', n_jobs=-1,
                       random_state=42), 'clf__max_depth': 6, 'clf__n_estimators': 50, 'normalize': StandardScaler(), 'reduce_dim': PCA(iterated_power=2, random_state=42), 'reduce_dim__n_components': 60}",0.559150982083259,0.5568413587594335,0.5532845915814197,0.5564256441413707,0.0024129164045155966,103
86,8.771500984827677,0.028404827515668002,0.7014714876810709,0.08447796129165676,"RandomForestClassifier(class_weight='balanced_subsample', n_jobs=-1,
                       random_state=42)",,,StandardScaler(),"PCA(iterated_power=2, random_state=42)",69,6,50,"{'clf': RandomForestClassifier(class_weight='balanced_subsample', n_jobs=-1,
                       random_state=42), 'clf__max_depth': 6, 'clf__n_estimators': 50, 'normalize': StandardScaler(), 'reduce_dim': PCA(iterated_power=2, random_state=42), 'reduce_dim__n_components': 69}",0.5575712601448564,0.5651356549988305,0.5392629426151079,0.5539899525862649,0.010861817969217558,114
87,9.484805266062418,0.19900579177002267,0.5777875582377116,0.024931324307692283,"RandomForestClassifier(class_weight='balanced_subsample', n_jobs=-1,
                       random_state=42)",,,StandardScaler(),"PCA(iterated_power=2, random_state=42)",mle,6,50,"{'clf': RandomForestClassifier(class_weight='balanced_subsample', n_jobs=-1,
                       random_state=42), 'clf__max_depth': 6, 'clf__n_estimators': 50, 'normalize': StandardScaler(), 'reduce_dim': PCA(iterated_power=2, random_state=42), 'reduce_dim__n_components': 'mle'}",0.5581586955544214,0.5508375631781195,0.5511328045597639,0.5533763544307683,0.003383773222858076,118
88,18.228344122568767,0.0477120604934093,1.2446854909261067,0.2331172425536067,"RandomForestClassifier(class_weight='balanced_subsample', n_jobs=-1,
                       random_state=42)",,,StandardScaler(),"PCA(iterated_power=2, random_state=42)",50,6,100,"{'clf': RandomForestClassifier(class_weight='balanced_subsample', n_jobs=-1,
                       random_state=42), 'clf__max_depth': 6, 'clf__n_estimators': 100, 'normalize': StandardScaler(), 'reduce_dim': PCA(iterated_power=2, random_state=42), 'reduce_dim__n_components': 50}",0.5562905768936677,0.5626981464423629,0.5467179527519822,0.5552355586960043,0.00656640160938352,108
89,16.862576405207317,0.4037216912858591,0.9805564880371094,0.07404931551005335,"RandomForestClassifier(class_weight='balanced_subsample', n_jobs=-1,
                       random_state=42)",,,StandardScaler(),"PCA(iterated_power=2, random_state=42)",60,6,100,"{'clf': RandomForestClassifier(class_weight='balanced_subsample', n_jobs=-1,
                       random_state=42), 'clf__max_depth': 6, 'clf__n_estimators': 100, 'normalize': StandardScaler(), 'reduce_dim': PCA(iterated_power=2, random_state=42), 'reduce_dim__n_components': 60}",0.5687967366659306,0.5608969113591803,0.5538260794487206,0.5611732424912772,0.006114867867186463,90
90,16.445558468500774,0.42912295334870226,0.9970020453135172,0.1158793062678236,"RandomForestClassifier(class_weight='balanced_subsample', n_jobs=-1,
                       random_state=42)",,,StandardScaler(),"PCA(iterated_power=2, random_state=42)",69,6,100,"{'clf': RandomForestClassifier(class_weight='balanced_subsample', n_jobs=-1,
                       random_state=42), 'clf__max_depth': 6, 'clf__n_estimators': 100, 'normalize': StandardScaler(), 'reduce_dim': PCA(iterated_power=2, random_state=42), 'reduce_dim__n_components': 69}",0.5562018719177193,0.5637771579067008,0.5448043598413193,0.5549277965552465,0.0077978295112328825,110
91,16.44168210029602,0.47363589809377615,1.0932223796844482,0.11966700762439762,"RandomForestClassifier(class_weight='balanced_subsample', n_jobs=-1,
                       random_state=42)",,,StandardScaler(),"PCA(iterated_power=2, random_state=42)",mle,6,100,"{'clf': RandomForestClassifier(class_weight='balanced_subsample', n_jobs=-1,
                       random_state=42), 'clf__max_depth': 6, 'clf__n_estimators': 100, 'normalize': StandardScaler(), 'reduce_dim': PCA(iterated_power=2, random_state=42), 'reduce_dim__n_components': 'mle'}",0.5665537960824871,0.5587376172291728,0.5539838623585445,0.5597584252234015,0.0051821710493375655,96
92,2.8018058935801187,0.295343825149788,0.2819987138112386,0.0777060127003437,"RandomForestClassifier(class_weight='balanced_subsample', n_jobs=-1,
                       random_state=42)",,,StandardScaler(),"PCA(iterated_power=2, random_state=42)",50,10,10,"{'clf': RandomForestClassifier(class_weight='balanced_subsample', n_jobs=-1,
                       random_state=42), 'clf__max_depth': 10, 'clf__n_estimators': 10, 'normalize': StandardScaler(), 'reduce_dim': PCA(iterated_power=2, random_state=42), 'reduce_dim__n_components': 50}",0.537442944789535,0.5299360484156268,0.5201748356314043,0.5291846096121887,0.0070696720188310365,156
93,2.4758057594299316,0.14622443196867804,0.23056483268737793,0.03408327543508891,"RandomForestClassifier(class_weight='balanced_subsample', n_jobs=-1,
                       random_state=42)",,,StandardScaler(),"PCA(iterated_power=2, random_state=42)",60,10,10,"{'clf': RandomForestClassifier(class_weight='balanced_subsample', n_jobs=-1,
                       random_state=42), 'clf__max_depth': 10, 'clf__n_estimators': 10, 'normalize': StandardScaler(), 'reduce_dim': PCA(iterated_power=2, random_state=42), 'reduce_dim__n_components': 60}",0.5638888658826751,0.5387201465177343,0.5328110876190052,0.5451400333398048,0.013475119926679798,138
94,2.498624006907145,0.08610380344665598,0.22658244768778482,0.007232127783714767,"RandomForestClassifier(class_weight='balanced_subsample', n_jobs=-1,
                       random_state=42)",,,StandardScaler(),"PCA(iterated_power=2, random_state=42)",69,10,10,"{'clf': RandomForestClassifier(class_weight='balanced_subsample', n_jobs=-1,
                       random_state=42), 'clf__max_depth': 10, 'clf__n_estimators': 10, 'normalize': StandardScaler(), 'reduce_dim': PCA(iterated_power=2, random_state=42), 'reduce_dim__n_components': 69}",0.5495702546578316,0.5446790771602046,0.5306402406280529,0.5416298574820297,0.008023285415016762,146
95,2.713564157485962,0.06347105921604343,0.2456655502319336,0.024109364273444643,"RandomForestClassifier(class_weight='balanced_subsample', n_jobs=-1,
                       random_state=42)",,,StandardScaler(),"PCA(iterated_power=2, random_state=42)",mle,10,10,"{'clf': RandomForestClassifier(class_weight='balanced_subsample', n_jobs=-1,
                       random_state=42), 'clf__max_depth': 10, 'clf__n_estimators': 10, 'normalize': StandardScaler(), 'reduce_dim': PCA(iterated_power=2, random_state=42), 'reduce_dim__n_components': 'mle'}",0.5540775874989039,0.5388927520500838,0.5509080719536993,0.5479594705008957,0.006540412565862728,132
96,5.845405737559001,0.060238982578347706,0.4620978832244873,0.1742649407971846,"RandomForestClassifier(class_weight='balanced_subsample', n_jobs=-1,
                       random_state=42)",,,StandardScaler(),"PCA(iterated_power=2, random_state=42)",50,10,25,"{'clf': RandomForestClassifier(class_weight='balanced_subsample', n_jobs=-1,
                       random_state=42), 'clf__max_depth': 10, 'clf__n_estimators': 25, 'normalize': StandardScaler(), 'reduce_dim': PCA(iterated_power=2, random_state=42), 'reduce_dim__n_components': 50}",0.5519961265340869,0.5470690016395854,0.5376160982941494,0.5455604088226073,0.005966751894787705,136
