,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_alpha,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score,std_test_score,rank_test_score
0,0.0380345344543457,0.008592434458425618,0.001603102684020996,0.00021956514251661194,50.0,{'alpha': 50.0},-1.4567243507938663,-1.5135878941100451,-1.6145525318105514,-1.601606859941693,-1.1603099127198462,-1.8369373343823294,-1.6951638711256654,-1.5487650192599027,-1.6624341868912562,-1.5928850808633506,-1.5682967041898506,0.16830176496141497,662
1,0.03118765354156494,0.00350749896829469,0.0017873525619506836,0.0005012502822919811,50.050050050050054,{'alpha': 50.050050050050054},-1.456717233674468,-1.513599441377748,-1.614550624785184,-1.6015988521697366,-1.1603034251243365,-1.836942600562106,-1.6951594804635324,-1.5487671468808044,-1.6624224863684893,-1.59289097623373,-1.5682952267640136,0.16830313993186835,660
2,0.03106698989868164,0.0019187686847087105,0.0017336130142211914,0.00034157671677222936,50.1001001001001,{'alpha': 50.1001001001001},-1.456710123650627,-1.5136109816612529,-1.6145487188683216,-1.6015908619865122,-1.1602969435254262,-1.8369478540064932,-1.6951551010343304,-1.5487692763107812,-1.6624107941414097,-1.5928968802284444,-1.56829375354136,0.16830451324939272,658
3,0.030622291564941406,0.003493400047151464,0.0014867305755615235,0.000175458865773162,50.150150150150154,{'alpha': 50.150150150150154},-1.45670302071632,-1.5136225149685845,-1.6145468140515304,-1.6015828893488464,-1.1602904679115689,-1.8369530947402553,-1.6951507328273598,-1.5487714075511996,-1.6623991101990205,-1.5929027928234607,-1.5682922845138143,0.168305884917316,657
4,0.02995433807373047,0.004058353882414514,0.0016165494918823243,0.0002609554039945755,50.2002002002002,{'alpha': 50.2002002002002},-1.4566959248655253,-1.5136340413077511,-1.6145449103264158,-1.6015749342137047,-1.1602839982712527,-1.836958322788086,-1.6951463758319323,-1.5487735406034162,-1.6623874345303447,-1.5929087139948215,-1.568290819673325,0.1683072549389563,655
5,0.028867125511169434,0.001908211305109169,0.0015103340148925782,0.0002221597778728237,50.250250250250254,{'alpha': 50.250250250250254},-1.4566888360922217,-1.5136455606867447,-1.6145430076846188,-1.601566996538188,-1.1602775345930025,-1.836963538174614,-1.6951420300373732,-1.5487756754687751,-1.6623757671244324,-1.5929146437186454,-1.5682893590118616,0.16830862331762328,653
6,0.02880241870880127,0.002422213472715247,0.0023087024688720702,0.002391193612758942,50.3003003003003,{'alpha': 50.3003003003003},-1.4566817543903907,-1.5136570731135435,-1.6145411061178183,-1.6015590762795358,-1.1602710768653757,-1.8369687409244002,-1.695137695433022,-1.54877781214861,-1.6623641079703555,-1.592920581971127,-1.5682879025214178,0.16830999005661768,651
7,0.02931258678436279,0.00410918300424706,0.0016218185424804687,0.00028170319342235215,50.350350350350354,{'alpha': 50.350350350350354},-1.4566746797540182,-1.5136685785961077,-1.6145392056177303,-1.601551173395124,-1.1602646250769624,-1.8369739310619349,-1.695133372008228,-1.548779950644244,-1.6623524570572092,-1.5929265287285364,-1.5682864501940095,0.16831135515923104,649
8,0.02878713607788086,0.0014676467860505406,0.0015866994857788087,0.0002179467536937459,50.4004004004004,{'alpha': 50.4004004004004},-1.456667612177088,-1.5136800771423837,-1.6145373061761068,-1.601543287842462,-1.1602581792163893,-1.836979108611644,-1.695129059752354,-1.548782090956987,-1.662340814374116,-1.5929324839672188,-1.568285002021675,0.1683127186287462,647
9,0.030316805839538573,0.004663522686184565,0.0014618873596191407,0.0003235038470582939,50.450450450450454,{'alpha': 50.450450450450454},-1.4566605516535864,-1.5136915687602999,-1.6145354077847365,-1.6015354195791967,-1.1602517392723126,-1.8369842735978852,-1.695124758654778,-1.548784233088142,-1.6623291799102171,-1.5929384476635926,-1.5682835579964745,0.16831408046843796,646
