,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_alpha,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score,std_test_score,rank_test_score
0,0.03630330562591553,0.002756670254939928,0.0032917261123657227,0.0008980053822276332,0.0001,{'alpha': 0.0001},-1.8568833166008192,-1.8883082903660753,-2.082729619444253,-2.080400021262255,-1.4608955626829085,-2.1793157734091753,-2.1394695546517766,-1.9177463606077412,-2.0880328957633,-1.9937602185184022,-1.9687541613306707,0.19831707855975236,1021
1,0.043484950065612794,0.007222742211570041,0.003291034698486328,0.0010958874143863228,0.001,{'alpha': 0.001},-1.8578521888051236,-1.8888840525017445,-2.083287762520974,-2.070885393589211,-1.4480590508904234,-2.1828513844289703,-2.1391036615800805,-1.917034744508503,-2.093074937545974,-1.9956329001820687,-1.9676666076553075,0.2017544001394149,1020
2,0.049467039108276364,0.017590138567988953,0.0035907983779907226,0.001849987552063423,0.01,{'alpha': 0.01},-1.8576725341916955,-1.8867059505769597,-2.0819995080304787,-2.065109741571513,-1.4443652788117267,-2.1852061222325285,-2.137666221464957,-1.9180130021274968,-2.094327134427413,-1.9966804364098407,-1.9667745929844607,0.2026401503789496,1019
3,0.044580912590026854,0.018307910065128843,0.005486059188842774,0.008822029122139493,0.1,{'alpha': 0.1},-1.8540362278222218,-1.8767398891955887,-2.0751253920918447,-2.050469930541885,-1.4379838091326704,-2.1915623628018346,-2.1294668838474045,-1.9166921110002746,-2.0911224883194506,-1.9977993971534684,-1.9620998491906643,0.20368938813017312,1018
4,0.041989374160766604,0.00708539501041998,0.0035897016525268553,0.0011976817444320268,0.25,{'alpha': 0.25},-1.8519277146382314,-1.8724060987784497,-2.071533367109316,-2.0419138953828257,-1.4338544082868483,-2.1955371848953096,-2.1245926675899587,-1.9173119778268524,-2.0895680635539864,-1.9981305763732689,-1.9596775954435046,0.20444134506987252,1017
5,0.04039297103881836,0.004850900176805224,0.003190469741821289,0.0005984495813478068,0.3,{'alpha': 0.3},-1.8514575865028482,-1.871724250863541,-2.0708425572430946,-2.040276002974199,-1.4330949806070772,-2.1963010414531188,-2.123457453387979,-1.91757937740448,-2.0893311165967607,-1.9981312524773795,-1.9592195619510477,0.20456386333026366,1016
6,0.04498023986816406,0.005857143413116695,0.0032908439636230467,0.0026020841539460163,0.35,{'alpha': 0.35},-1.8510393022952063,-1.8711990830261902,-2.070261470129288,-2.0389411912707174,-1.432496230142676,-2.196924637912133,-2.122431854723695,-1.917840973635027,-2.0891525114687144,-1.9981088487510001,-1.9588396103354646,0.20465129677101734,1015
7,0.04597675800323486,0.015285060267414434,0.0034924745559692383,0.002241175758334699,0.4,{'alpha': 0.4},-1.85066019490237,-1.8707818315460512,-2.0697580333110657,-2.0378297968520886,-1.4320156541506066,-2.197444969643046,-2.1214880775092744,-1.9180921571995484,-2.089013360627274,-1.9980711273362715,-1.9585155203077593,0.20471283506645932,1014
8,0.04507889747619629,0.006834595160413591,0.002593326568603516,0.0007976540320226507,0.45,{'alpha': 0.45},-1.8503125503033508,-1.8704424855872774,-2.069312151645568,-2.0368883993154427,-1.4316242436515574,-2.197886793559767,-2.1206088428699745,-1.9183312894788234,-2.0889019288296606,-1.9980230326918922,-1.9582331717933315,0.20475488936747202,1013
9,0.0451793909072876,0.008613401046510908,0.002891993522644043,0.000536898444581034,0.5,{'alpha': 0.5},-1.8499912520600086,-1.8701615229098714,-2.068910522084963,-2.036079622050894,-1.431301554033171,-2.1982674110490366,-2.1197826026553654,-1.918558134175304,-2.0888105867518383,-1.997967844519061,-1.957983105228951,0.20478204204058784,1012
10,0.042784833908081056,0.008870499949227739,0.002592635154724121,0.0004888222123157862,0.525,{'alpha': 0.525},-1.8498393039149896,-1.8700386120303163,-2.068723311288027,-2.0357162182756663,-1.431161190605784,-2.1984388162785207,-2.119386706991105,-1.918667066861083,-2.088770772805931,-1.9979383211539534,-1.9578680320205375,0.20479111280479406,1011
11,0.044779181480407715,0.008228413223309701,0.003193187713623047,0.000596831232319097,0.55,{'alpha': 0.55},-1.8496926537400986,-1.869925658154244,-2.0685439396983774,-2.035376435887187,-1.4310327929158857,-2.198599333557101,-2.119001178283864,-1.9187731149350276,-2.0887341901462664,-1.997907807691678,-1.957758710500973,0.2047976392277622,1010
12,0.03919520378112793,0.004349099014389791,0.002992105484008789,0.0006310164209748366,0.6,{'alpha': 0.6},-1.8494140007664701,-1.8697255054924993,-2.068205799516563,-2.0347587670309255,-1.4308070178791679,-2.1988918619617936,-2.1182585015432394,-1.9189769480192973,-2.088669164316676,-1.9978444972764886,-1.9575552063803119,0.2048041707792432,1009
13,0.03889849185943604,0.0020441641064853073,0.002690434455871582,0.0004555417222479616,0.7,{'alpha': 0.7},-1.8489082156546002,-1.8694066822198399,-2.067596481305645,-2.0337224678979275,-1.4304533516758824,-2.199385439718268,-2.1168716571268655,-1.919354475093152,-2.088563725209077,-1.9977122561533365,-1.9571974752054593,0.20479713379206407,1008
14,0.04198708534240723,0.006471812758783762,0.004289174079895019,0.002361753306558048,0.8,{'alpha': 0.8},-1.8484606007768198,-1.8691679827034557,-2.0670556521278614,-2.032884915798938,-1.4301946958489453,-2.1997880787328032,-2.115594697133527,-1.9196971922993702,-2.08848097937042,-1.9975769625463313,-1.9568901757338473,0.20477141054035922,1007
15,0.044581484794616696,0.006910463272082598,0.0050857305526733395,0.005113802010334605,0.85,{'alpha': 0.85},-1.8482554908928772,-1.8690713100814225,-2.0668054527215087,-2.0325229140486774,-1.4300916974912337,-2.1999635911468776,-2.114991356414821,-1.9198573182300016,-2.0884456323555445,-1.9975092361227869,-1.9567513999505752,0.20475366141019308,1006
16,0.04458005428314209,0.008251129379939314,0.002992558479309082,0.0006315205296787112,0.9,{'alpha': 0.9},-1.8480614971352987,-1.8689869689606116,-2.066566627083206,-2.032191903139507,-1.4300027289893595,-2.200125111833666,-2.1144089269222226,-1.9200108010491643,-2.0884134178513745,-1.9974418200702087,-1.9566209803034618,0.204733452205683,1005
17,0.03859546184539795,0.0013423412277042842,0.0034919500350952147,0.0006692688192613587,0.95,{'alpha': 0.95},-1.8478777533111763,-1.8689133448712145,-2.066337940795644,-2.0318878678432415,-1.4299257617808043,-2.200274524618084,-2.1138458420988755,-1.9201581975272783,-2.088383849139077,-1.9973749038854063,-1.9564979985870798,0.20471123899814272,1004
18,0.04298553466796875,0.007960129626105605,0.003191518783569336,0.0007465344624773163,0.975,{'alpha': 0.975},-1.8477894804579886,-1.8688801247554725,-2.066227070614436,-2.0317448997576197,-1.4298912461555926,-2.2003451910870218,-2.1135711193229363,-1.9202297717442258,-2.088369932816919,-1.9973416792760958,-1.9564390515988308,0.2046994998008511,1003
19,0.04717228412628174,0.009484499721458073,0.0027923345565795898,0.0009766207201863202,1,{'alpha': 1},-1.8477034869124624,-1.8688491006536267,-2.0661183614334564,-2.0316074676673583,-1.4298591300953691,-2.200413397622705,-2.1133007325680233,-1.9203000077666825,-2.0883565392186703,-1.9973086300445477,-1.95638168539829,0.20468739337870834,1002
20,0.038796186447143555,0.003467938901238802,0.00299224853515625,0.0008927899879202854,9,{'alpha': 9},-1.843336587266048,-1.8713904115772508,-2.0535073594627633,-2.0253353120168223,-1.4321782759871484,-2.206468103000918,-2.0842107363823574,-1.9283772526276106,-2.0877367701687315,-1.9933632491069468,-1.9525904057596595,0.20177356407568797,1001
